unique_id,min_date,max_date,lifetime,n_records,n_zero,% zero,n_consecutive_weeks,ok_zeros,ok_2years,ok_sales_last_2months,time_series
00620003,2016-01-04,2021-09-13,297.0,298,16.0,5.4,152,1,1,0,0
00620004,2015-12-28,2022-10-31,357.0,358,94.0,26.3,65,0,1,0,0
00620010,2016-01-04,2022-04-18,328.0,329,87.0,26.4,40,0,1,0,0
00620011,2015-12-28,2022-06-20,338.0,339,63.0,18.6,104,1,1,0,0
00620011NM,2020-09-21,2021-10-11,55.0,56,13.0,23.2,11,0,0,0,0
00620012,2015-12-28,2022-10-03,353.0,354,56.0,15.8,223,1,1,0,0
00620012NM,2019-03-11,2022-10-03,186.0,187,80.0,42.8,25,0,1,0,0
00620101,2016-01-04,2023-03-06,374.0,375,33.0,8.8,214,1,1,1,1
00625004,2023-01-02,2023-02-27,8.0,9,0.0,0.0,9,1,0,1,0
00626001,2016-01-04,2021-09-13,297.0,298,15.0,5.0,53,1,1,0,0
00626010,2016-01-04,2021-09-06,296.0,297,20.0,6.7,93,1,1,0,0
00628004,2021-06-07,2023-02-27,90.0,91,2.0,2.2,53,1,0,1,0
00628004NM,2021-12-20,2023-02-27,62.0,63,10.0,15.9,11,1,0,1,0
00628005,2021-09-20,2023-02-20,74.0,75,24.0,32.0,10,0,0,1,0
00630001NM,2021-12-27,2023-02-20,60.0,61,15.0,24.6,10,0,0,1,0
00630003,2022-10-24,2023-02-20,17.0,18,3.0,16.7,9,1,0,1,0
00630011,2022-07-11,2023-02-20,32.0,33,10.0,30.3,15,0,0,1,0
00630012,2021-09-27,2023-02-27,74.0,75,30.0,40.0,9,0,0,1,0
00630013,2021-10-25,2023-02-20,69.0,70,20.0,28.6,21,0,0,1,0
006437NM,2021-08-02,2023-02-27,82.0,83,25.0,30.1,10,0,0,1,0
00648501,2016-01-04,2023-02-20,372.0,373,208.0,55.8,16,0,1,1,0
00661001,2015-12-14,2023-02-27,376.0,377,4.0,1.1,190,1,1,1,1
00661002,2016-01-11,2023-02-06,369.0,370,121.0,32.7,23,0,1,1,0
00663901,2016-01-04,2023-02-27,373.0,374,8.0,2.1,104,1,1,1,1
00663901NM,2021-04-19,2023-02-27,97.0,98,28.0,28.6,10,0,0,1,0
00679201,2017-01-16,2022-07-04,285.0,286,164.0,57.3,29,0,1,0,0
00679401,2017-01-09,2021-03-29,220.0,221,130.0,58.8,19,0,1,0,0
00681001,2016-01-04,2023-02-27,373.0,374,7.0,1.9,107,1,1,1,1
00681001NM,2022-08-08,2023-02-13,27.0,28,9.0,32.1,9,0,0,1,0
00681002,2015-12-21,2023-02-13,373.0,374,117.0,31.3,30,0,1,1,0
00698001,2016-02-01,2021-09-13,293.0,294,18.0,6.1,183,1,1,0,0
00698002NM,2020-10-05,2022-07-25,94.0,95,53.0,55.8,14,0,0,0,0
00698003,2021-06-07,2023-02-20,89.0,90,18.0,20.0,27,0,0,1,0
00712001,2015-12-21,2023-01-30,371.0,372,69.0,18.5,41,1,1,1,1
00712001D,2016-04-25,2023-02-20,356.0,357,210.0,58.8,13,0,1,1,0
0071700203NM,2021-05-03,2023-02-20,94.0,95,47.0,49.5,9,0,0,1,0
00719101,2015-12-14,2023-02-20,375.0,376,20.0,5.3,225,1,1,1,1
00719102,2022-05-23,2023-02-27,40.0,41,13.0,31.7,9,0,0,1,0
00719501,2016-04-18,2022-11-28,345.0,346,106.0,30.6,24,0,1,0,0
00719701,2016-08-29,2023-02-27,339.0,340,103.0,30.3,19,0,1,1,0
00719702,2022-08-22,2023-02-27,27.0,28,7.0,25.0,9,0,0,1,0
00731201,2016-02-15,2022-12-05,355.0,356,112.0,31.5,31,0,1,0,0
00738501,2017-03-20,2023-03-06,311.0,312,208.0,66.7,9,0,1,1,0
00738502,2016-05-16,2023-01-30,350.0,351,187.0,53.3,10,0,1,1,0
00739502NM,2018-12-31,2023-02-20,216.0,217,45.0,20.7,19,0,1,1,0
00739504,2021-12-20,2023-01-23,57.0,58,15.0,25.9,22,0,0,1,0
00749501,2016-01-04,2023-02-13,371.0,372,158.0,42.5,32,0,1,1,0
01210302,2018-08-27,2023-02-20,234.0,235,106.0,45.1,12,0,1,1,0
01210303,2017-05-01,2023-02-27,304.0,305,121.0,39.7,15,0,1,1,0
01220801,2019-04-08,2023-02-20,202.0,203,97.0,47.8,9,0,1,1,0
01299601,2018-04-09,2023-02-27,255.0,256,35.0,13.7,29,1,1,1,1
01716702,2015-12-28,2023-02-20,373.0,374,16.0,4.3,117,1,1,1,1
0171670205P,2016-05-16,2017-05-29,54.0,55,25.0,45.5,9,0,0,0,0
01717002,2015-12-28,2023-02-20,373.0,374,28.0,7.5,186,1,1,1,1
01717712,2016-01-11,2023-02-27,372.0,373,91.0,24.4,30,0,1,1,0
01718012,2016-03-07,2022-11-28,351.0,352,150.0,42.6,13,0,1,0,0
01718080,2018-01-22,2022-11-21,252.0,253,129.0,51.0,11,0,1,0,0
01730802D,2016-01-04,2023-01-16,367.0,368,112.0,30.4,22,0,1,1,0
01744001,2016-01-11,2023-02-06,369.0,370,142.0,38.4,13,0,1,1,0
01744702,2016-04-18,2023-02-13,356.0,357,69.0,19.3,77,1,1,1,1
02351501,2016-01-18,2023-02-27,371.0,372,31.0,8.3,60,1,1,1,1
