ds,unique_id,y,cutoff,mean,random_walk,window_average,auto_arima,prophet
2022-06-27,123125F,3.1354942159291497,2022-05-16,3.0269655251779457,3.1354942159291497,2.980869403031737,3.041980442011262,3.052211195539846
2022-07-04,123125F,2.302585092994046,2022-05-16,3.0269655251779457,3.1354942159291497,2.980869403031737,3.03942506339384,3.0808604555631853
2022-07-11,123125F,2.9444389791664403,2022-05-16,3.0269655251779457,3.1354942159291497,2.980869403031737,3.0377578201199897,3.1278779940873527
2022-07-18,123125F,3.871201010907891,2022-07-11,3.011285112552542,2.9444389791664403,2.8445626404109063,2.8299267136371036,3.117265950402074
2022-07-25,123125F,3.5263605246161616,2022-07-11,3.011285112552542,2.9444389791664403,2.8445626404109063,2.940857494166517,3.078855888997783
2022-08-01,123125F,2.6390573296152584,2022-07-11,3.011285112552542,2.9444389791664403,2.8445626404109063,2.9495048475031904,3.013616056953156
2022-08-08,123125F,2.772588722239781,2022-07-11,3.011285112552542,2.9444389791664403,2.8445626404109063,2.9776131494839224,2.984052686515351
2022-08-15,123125F,2.8903717578961645,2022-07-11,3.011285112552542,2.9444389791664403,2.8445626404109063,2.9884250102547334,3.0175757664693044
2022-08-22,123125F,2.995732273553991,2022-07-11,3.011285112552542,2.9444389791664403,2.8445626404109063,2.9982561831588983,3.0795216079847436
2022-08-29,123125F,3.7376696182833684,2022-07-11,3.011285112552542,2.9444389791664403,2.8445626404109063,3.003820198027963,3.1153586669487687
2022-09-05,123125F,2.8903717578961645,2022-07-11,3.011285112552542,2.9444389791664403,2.8445626404109063,3.0078188597662683,3.108297674368845
2022-09-12,123125F,3.044522437723423,2022-09-05,3.01770736304519,2.8903717578961645,3.128536351907422,3.0767753380546017,3.0892637284113773
2022-09-19,123125F,3.6635616461296463,2022-09-05,3.01770736304519,2.8903717578961645,3.128536351907422,3.0655865317275834,3.073873826572384
2022-09-26,123125F,2.772588722239781,2022-09-05,3.01770736304519,2.8903717578961645,3.128536351907422,3.056938658968141,3.0785637840188604
2022-10-03,123125F,3.367295829986474,2022-09-05,3.01770736304519,2.8903717578961645,3.128536351907422,3.050254683834626,3.078153335734433
2022-10-10,123125F,2.5649493574615367,2022-09-05,3.01770736304519,2.8903717578961645,3.128536351907422,3.0450886129605292,3.067703362804347
2022-10-17,123125F,2.8903717578961645,2022-09-05,3.01770736304519,2.8903717578961645,3.128536351907422,3.041095736305084,3.069540856262579
2022-10-24,123125F,2.302585092994046,2022-09-05,3.01770736304519,2.8903717578961645,3.128536351907422,3.038009626111447,3.0936327138077764
2022-10-31,123125F,3.044522437723423,2022-09-05,3.01770736304519,2.8903717578961645,3.128536351907422,3.03562435931031,3.112430350054983
2022-11-07,123125F,2.70805020110221,2022-10-31,3.0152510549341547,3.044522437723423,2.7006071615187928,2.9072800827256446,3.0871650758525457
2022-11-14,123125F,2.1972245773362196,2022-10-31,3.0152510549341547,3.044522437723423,2.7006071615187928,2.933004972522679,3.0459347201565476
2022-11-21,123125F,3.1780538303479458,2022-10-31,3.0152510549341547,3.044522437723423,2.7006071615187928,2.9529180145114484,3.020558246637259
2022-11-28,123125F,2.302585092994046,2022-10-31,3.0152510549341547,3.044522437723423,2.7006071615187928,2.9683322395819944,3.0419768384356383
2022-12-05,123125F,1.6094379124341003,2022-10-31,3.0152510549341547,3.044522437723423,2.7006071615187928,2.9802640345663796,3.0705160398688185
2022-12-12,123125F,3.4657359027997265,2022-10-31,3.0152510549341547,3.044522437723423,2.7006071615187928,2.989500160994911,3.0352487262825107
2022-12-19,123125F,3.58351893845611,2022-10-31,3.0152510549341547,3.044522437723423,2.7006071615187928,2.9966496327647034,2.925345156414814
2022-12-26,123125F,1.9459101490553132,2022-10-31,3.0152510549341547,3.044522437723423,2.7006071615187928,3.0021838734426094,2.8217683139599483
2022-05-23,123155F,1.3862943611198906,2022-05-16,1.8697514185698603,0.6931471805599453,1.4742884669091851,1.702185148270511,1.8581454764360632
2022-05-30,123155F,3.295836866004329,2022-05-16,1.8697514185698603,0.6931471805599453,1.4742884669091851,2.055683569726962,1.8405453650686987
2022-06-06,123155F,0.0,2022-05-16,1.8697514185698603,0.6931471805599453,1.4742884669091851,1.7180527296260681,1.8428345263838581
2022-06-13,123155F,0.0,2022-05-16,1.8697514185698603,0.6931471805599453,1.4742884669091851,1.7170084101766543,1.8635041246457555
2022-06-20,123155F,3.044522437723423,2022-05-16,1.8697514185698603,0.6931471805599453,1.4742884669091851,1.8720886754903692,1.885091707473386
2022-06-27,123155F,0.0,2022-05-16,1.8697514185698603,0.6931471805599453,1.4742884669091851,1.8720886754903692,1.893203961959097
2022-07-04,123155F,0.0,2022-05-16,1.8697514185698603,0.6931471805599453,1.4742884669091851,1.8720886754903692,1.8895822892741072
2022-07-11,123155F,1.9459101490553132,2022-05-16,1.8697514185698603,0.6931471805599453,1.4742884669091851,1.8720886754903692,1.885999499322495
2022-07-18,123155F,0.0,2022-07-11,1.8410261602293394,1.9459101490553132,1.247608146694684,1.5664876815883306,1.8562553086011087
2022-07-25,123155F,1.9459101490553132,2022-07-11,1.8410261602293394,1.9459101490553132,1.247608146694684,1.2698777914199508,1.8656694045352604
2022-08-01,123155F,3.7256934272366524,2022-07-11,1.8410261602293394,1.9459101490553132,1.247608146694684,1.6919933084833227,1.859852897018124
2022-08-08,123155F,1.791759469228055,2022-07-11,1.8410261602293394,1.9459101490553132,1.247608146694684,1.8681211031660092,1.841007766673979
2022-08-15,123155F,0.0,2022-07-11,1.8410261602293394,1.9459101490553132,1.247608146694684,1.8399571194747035,1.8243156751741152
2022-08-22,123155F,0.6931471805599453,2022-07-11,1.8410261602293394,1.9459101490553132,1.247608146694684,1.8399571194747035,1.8234859282697282
2022-08-29,123155F,1.6094379124341003,2022-07-11,1.8410261602293394,1.9459101490553132,1.247608146694684,1.8399571194747035,1.8384372078131912
2022-09-05,123155F,1.6094379124341003,2022-07-11,1.8410261602293394,1.9459101490553132,1.247608146694684,1.8399571194747035,1.8567670044171494
2022-09-12,123155F,2.70805020110221,2022-09-05,1.8235635392351384,1.6094379124341003,0.9780057513570364,1.6024057436358252,1.8610332924846913
2022-09-19,123155F,0.0,2022-09-05,1.8235635392351384,1.6094379124341003,0.9780057513570364,1.616957281655411,1.8569774673822972
2022-09-26,123155F,2.1972245773362196,2022-09-05,1.8235635392351384,1.6094379124341003,0.9780057513570364,1.6306375511323854,1.8379084110692705
2022-10-03,123155F,1.791759469228055,2022-09-05,1.8235635392351384,1.6094379124341003,0.9780057513570364,1.6434987189835597,1.8231899028170124
2022-10-10,123155F,1.6094379124341003,2022-09-05,1.8235635392351384,1.6094379124341003,0.9780057513570364,1.6555898286487958,1.8244260137280948
2022-10-17,123155F,1.3862943611198906,2022-09-05,1.8235635392351384,1.6094379124341003,0.9780057513570364,1.6669569871081589,1.8373825516950246
2022-10-24,123155F,3.1354942159291497,2022-09-05,1.8235635392351384,1.6094379124341003,0.9780057513570364,1.67764354070148,1.8485946927386674
2022-10-31,123155F,3.332204510175204,2022-09-05,1.8235635392351384,1.6094379124341003,0.9780057513570364,1.6876902404207805,1.8481063011829535
