,id,model,rmse,mae,wape_m
354,03944401,DynamicOptimizedTheta,2,1.7,24.4
355,03944401,AutoTheta,2,1.7,24.9
356,03944401,ADIDA,2,1.7,24.4
357,03944401,CrostonClassic,2,1.7,23.7
358,03944401,IMAPA,2,1.7,24.4
359,03944401,WindowAverage,2,1.6,26.6
360,06110301,AutoARIMA,2,1.8,92.5
361,06110301,AutoETS,2,1.7,71.4
362,06110301,DynamicOptimizedTheta,2,1.8,94.5
363,06110301,AutoTheta,2,1.8,93.3
364,06110301,ADIDA,2,1.8,94.5
365,06110301,CrostonClassic,2,1.8,79.3
366,06110301,IMAPA,2,1.8,94.5
367,06110301,WindowAverage,2,1.8,106.4
368,06116201,AutoARIMA,2,1.3,55.4
369,06116201,AutoETS,2,1.7,119.6
370,06116201,DynamicOptimizedTheta,2,1.4,98.0
371,06116201,AutoTheta,2,1.4,94.4
372,06116201,ADIDA,2,1.4,98.0
373,06116201,CrostonClassic,2,1.5,116.8
374,06116201,IMAPA,2,1.4,98.0
375,06116201,WindowAverage,2,1.3,70.9
376,06117001,AutoARIMA,3,2.4,114.0
377,06117001,AutoETS,2,1.6,53.0
378,06117001,DynamicOptimizedTheta,2,1.5,43.3
379,06117001,AutoTheta,2,1.5,41.7
380,06117001,ADIDA,2,1.5,43.3
381,06117001,CrostonClassic,2,1.5,46.7
382,06117001,IMAPA,2,1.5,43.3
383,06117001,WindowAverage,2,1.5,38.3
384,06117201,AutoARIMA,3,2.9,62.2
385,06117201,AutoETS,3,2.7,62.0
386,06117201,DynamicOptimizedTheta,3,2.7,60.8
387,06117201,AutoTheta,3,2.7,58.4
388,06117201,ADIDA,3,2.7,60.8
389,06117201,CrostonClassic,3,2.7,74.3
390,06117201,IMAPA,3,2.7,60.8
391,06117201,WindowAverage,4,3.4,113.3
392,06117209,AutoARIMA,3,2.5,115.5
393,06117209,AutoETS,2,1.7,68.9
394,06117209,DynamicOptimizedTheta,2,1.6,67.1
395,06117209,AutoTheta,2,1.6,65.4
396,06117209,ADIDA,2,1.6,63.8
397,06117209,CrostonClassic,2,1.7,70.1
398,06117209,IMAPA,2,1.6,63.8
399,06117209,WindowAverage,2,1.5,53.2
400,06118201,AutoARIMA,6,4.2,45.1
401,06118201,AutoETS,5,3.5,34.6
402,06118201,DynamicOptimizedTheta,5,3.5,33.9
403,06118201,AutoTheta,5,3.4,33.0
404,06118201,ADIDA,5,3.5,35.1
405,06118201,CrostonClassic,5,3.5,33.2
406,06118201,IMAPA,5,3.5,35.1
407,06118201,WindowAverage,5,3.7,42.3
408,06139301,AutoARIMA,3,2.1,123.1
409,06139301,AutoETS,2,1.3,58.1
410,06139301,DynamicOptimizedTheta,2,1.8,101.4
411,06139301,AutoTheta,2,1.8,98.1
412,06139301,ADIDA,2,1.2,54.1
413,06139301,CrostonClassic,2,1.3,60.5
414,06139301,IMAPA,2,1.2,54.1
415,06139301,WindowAverage,2,1.5,94.6
