,id,model,rmse,mae,wape_m
329,06248702,prophet,2,1.9,48.0
330,06254201,mean,3,1.9,26.0
331,06254201,random_walk,3,2.6,65.4
332,06254201,window_average,3,2.2,36.5
333,06254201,auto_arima,3,1.9,26.0
334,06254201,prophet,3,1.9,26.1
335,06254201OM,mean,2,1.9,33.2
336,06254201OM,random_walk,3,2.2,49.2
337,06254201OM,window_average,2,1.8,39.7
338,06254201OM,auto_arima,2,1.9,33.2
339,06254201OM,prophet,2,1.9,34.4
340,06298001,mean,8,6.5,102.9
341,06298001,random_walk,14,12.3,206.9
342,06298001,window_average,6,4.8,45.7
343,06298001,auto_arima,7,5.0,56.0
344,06298001,prophet,8,6.5,104.1
345,06910302,mean,3,2.8,180.6
346,06910302,random_walk,4,3.4,235.7
347,06910302,window_average,2,1.7,41.1
348,06910302,auto_arima,2,1.7,44.3
349,06910302,prophet,3,2.8,185.5
350,06916702,mean,5,4.4,186.2
351,06916702,random_walk,7,5.9,395.8
352,06916702,window_average,4,2.8,46.2
353,06916702,auto_arima,4,3.0,70.4
354,06916702,prophet,5,4.3,184.0
355,06917002,mean,3,2.6,129.3
356,06917002,random_walk,4,2.7,133.9
357,06917002,window_average,3,1.9,54.7
358,06917002,auto_arima,3,2.0,52.1
359,06917002,prophet,3,2.5,120.8
360,06944001,mean,4,3.3,32.6
361,06944001,random_walk,4,3.2,34.0
362,06944001,window_average,4,3.0,44.7
363,06944001,auto_arima,4,3.2,31.3
364,06944001,prophet,4,3.5,37.5
365,06944401,mean,4,3.6,77.4
366,06944401,random_walk,5,4.0,74.9
367,06944401,window_average,4,2.9,39.2
368,06944401,auto_arima,3,2.7,31.3
369,06944401,prophet,4,3.8,85.1
370,0701770212,mean,6,5.2,69.3
371,0701770212,random_walk,8,6.2,89.1
372,0701770212,window_average,6,4.7,51.4
373,0701770212,auto_arima,6,4.5,43.6
374,0701770212,prophet,6,5.2,44.3
375,07044802,mean,4,3.0,37.7
376,07044802,random_walk,5,4.0,72.1
377,07044802,window_average,5,3.7,60.1
378,07044802,auto_arima,4,3.0,36.7
379,07044802,prophet,4,3.1,41.5
380,07099501,mean,6,5.1,73.8
381,07099501,random_walk,6,5.2,89.1
382,07099501,window_average,5,4.2,46.2
383,07099501,auto_arima,6,4.7,69.4
384,07099501,prophet,5,3.7,57.8
385,081192,mean,6,5.4,35.1
386,081192,random_walk,6,5.3,35.0
387,081192,window_average,7,5.8,39.3
388,081192,auto_arima,7,5.6,32.9
389,081192,prophet,6,5.4,33.0
390,08119301,mean,6,5.2,181.2
391,08119301,random_walk,6,5.4,140.5
392,08119301,window_average,4,3.2,64.0
393,08119301,auto_arima,4,3.3,77.1
394,08119301,prophet,6,5.2,173.6
395,08119701,mean,2,1.8,125.8
396,08119701,random_walk,5,4.0,278.0
397,08119701,window_average,1,1.0,36.2
398,08119701,auto_arima,1,1.0,53.7
399,08119701,prophet,2,1.9,130.9
400,08119702,mean,5,4.1,76.9
401,08119702,random_walk,5,4.6,44.2
402,08119702,window_average,4,3.8,36.1
403,08119702,auto_arima,4,3.7,33.0
404,08119702,prophet,5,4.1,81.2
405,09018602,mean,4,3.5,28.6
406,09018602,random_walk,5,4.1,36.8
407,09018602,window_average,5,3.9,36.9
408,09018602,auto_arima,4,3.5,28.6
409,09018602,prophet,4,3.5,27.5
410,09096020,mean,3,2.3,42.6
411,09096020,random_walk,3,2.3,44.7
412,09096020,window_average,3,2.6,56.5
413,09096020,auto_arima,3,2.3,42.1
414,09096020,prophet,3,2.3,46.4
415,09096022,mean,3,2.4,22.8
416,09096022,random_walk,3,2.7,44.8
417,09096022,window_average,3,2.1,16.3
418,09096022,auto_arima,3,2.4,23.4
419,09096022,prophet,3,2.4,24.5
420,09286552,mean,2,2.1,102.6
421,09286552,random_walk,6,5.8,412.3
422,09286552,window_average,2,1.8,84.3
423,09286552,auto_arima,2,1.7,64.0
424,09286552,prophet,2,2.0,99.5
425,09286563,mean,2,1.3,145.6
426,09286563,random_walk,1,1.1,71.5
427,09286563,window_average,2,1.2,136.5
428,09286563,auto_arima,1,1.1,113.3
429,09286563,prophet,2,1.3,148.4
430,106103,mean,16,13.9,133.4
